State,Jan23 Force,Jan24 Force,Feb23 Force,Feb24 Force,Jan23 Unemp,Jan24 Unemp,Feb23 Unemp,Feb24 Unemp,Jan23 Unemp Perc,Jan24 Unemp Perc,Feb23 Unemp Perc,Feb24 Unemp Perc,State
Grand Junction,"75,877","75,855","76,523","76,478","2,926","3,387","3,071","3,553",3.9,4.5,4,4.6,Colorado
Greeley,"166,960","169,884","169,866","172,089","5,557","6,827","6,075","7,436",3.3,4,3.6,4.3,Colorado
Pueblo,"75,427","75,092","75,983","75,346","3,446","3,977","3,668","4,217",4.6,5.3,4.8,5.6,Colorado
Connecticut,"1,879,503","1,904,524","1,871,467","1,902,188","75,298","95,028","77,128","102,042",4,5,4.1,5.4,
Bridgeport-Stamford-Norwalk,"461,117","465,263","458,354","466,516","18,920","24,061","19,553","26,186",4.1,5.2,4.3,5.6,Connecticut
Danbury,"105,498","106,330","104,422","106,020","3,860","4,841","3,955","5,306",3.7,4.6,3.8,5,Connecticut
Hartford-West Hartford-East Hartford,"615,004","623,512","612,745","620,799","24,254","30,525","24,805","32,581",3.9,4.9,4,5.2,Connecticut
New Haven,"330,532","335,786","330,581","336,841","12,416","15,716","12,537","16,699",3.8,4.7,3.8,5,Connecticut
Norwich-New London-Westerly,"136,331","139,864","135,625","138,936","5,360","6,753","5,462","7,273",3.9,4.8,4,5.2,Connecticut
Waterbury,"109,221","111,227","108,535","110,667","5,389","7,168","5,638","7,546",4.9,6.4,5.2,6.8,Connecticut
Delaware,"499,613","503,272","501,342","506,346","21,606","21,021","21,499","20,242",4.3,4.2,4.3,4,
Dover,"81,163","81,214","81,538","81,973","3,812","3,737","3,862","3,637",4.7,4.6,4.7,4.4,Delaware
Salisbury(1),"192,950","195,682","193,944","197,450","9,044","8,802","8,412","8,383",4.7,4.5,4.3,4.2,Delaware
District of Columbia,"391,712","404,669","394,275","407,086","19,205","20,992","19,845","21,716",4.9,5.2,5,5.3,
Washington-Arlington-Alexandria,"3,433,103","3,476,564","3,453,996","3,485,711","96,359","97,704","95,379","105,622",2.8,2.8,2.8,3,District of Columbia
Florida,"10,780,513","11,055,271","10,856,781","11,076,701","306,387","345,180","293,635","348,220",2.8,3.1,2.7,3.1,
Cape Coral-Fort Myers,"370,635","380,122","375,495","382,742","12,612","12,774","11,619","12,768",3.4,3.4,3.1,3.3,Florida
Crestview-Fort Walton Beach-Destin,"134,910","140,635","135,745","141,057","3,614","4,318","3,481","4,280",2.7,3.1,2.6,3,Florida
Deltona-Daytona Beach-Ormond Beach,"315,360","324,317","318,485","324,968","10,491","12,095","9,959","11,887",3.3,3.7,3.1,3.7,Florida
Gainesville,"149,308","152,555","151,059","153,658","4,285","5,132","4,170","5,172",2.9,3.4,2.8,3.4,Florida
Homosassa Springs,"49,415","49,695","49,703","49,768","2,152","2,592","2,042","2,568",4.4,5.2,4.1,5.2,Florida
Jacksonville,"828,876","847,350","829,997","848,594","23,650","27,793","22,943","28,060",2.9,3.3,2.8,3.3,Florida
Lakeland-Winter Haven,"337,950","346,820","339,747","347,469","11,674","13,899","11,195","13,712",3.5,4,3.3,3.9,Florida
Miami-Fort Lauderdale-West Palm Beach,"3,193,635","3,273,707","3,220,959","3,280,207","77,676","78,739","74,496","82,425",2.4,2.4,2.3,2.5,Florida
Naples-Immokalee-Marco Island,"191,836","196,566","192,959","196,798","5,294","5,958","5,039","5,911",2.8,3,2.6,3,Florida
North Port-Sarasota-Bradenton,"388,646","399,822","391,767","399,661","11,456","13,581","10,968","13,619",2.9,3.4,2.8,3.4,Florida
Ocala,"149,541","152,346","150,354","152,494","5,246","6,350","5,059","6,277",3.5,4.2,3.4,4.1,Florida
Orlando-Kissimmee-Sanford,"1,441,522","1,477,296","1,451,350","1,478,950","41,185","47,411","39,730","47,125",2.9,3.2,2.7,3.2,Florida
Palm Bay-Melbourne-Titusville,"300,067","307,473","300,534","307,284","8,765","10,297","8,329","10,250",2.9,3.3,2.8,3.3,Florida
Panama City,"91,288","94,313","92,198","94,605","2,745","3,250","2,455","3,050",3,3.4,2.7,3.2,Florida
Pensacola-Ferry Pass-Brent,"236,688","244,069","238,485","244,440","6,939","8,288","6,632","8,281",2.9,3.4,2.8,3.4,Florida
